# 391 reported flooding locations from 3 BBMP layers. NOT a hazard model: no return period, depth or drainage. Absence of a nearby point is not evidence a location does not flood.
name,kind,source_layer,geometry_type,centroid_lng,centroid_lat,vertex_count
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.614639,12.963722,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.566525,12.965317,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.517394,12.965703,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.552619,12.965883,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.517489,12.96595,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.682778,12.966389,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.549697,12.968405,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.692178,12.969066,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.736686,12.9693,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.609667,12.970611,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.633611,12.970833,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.518656,12.971169,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.633333,12.971667,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.554109,12.972248,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.562883,12.972619,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.546651,12.97373,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.560417,12.975217,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.562704,12.975619,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.567347,12.976597,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.627222,12.978333,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.733753,12.978889,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.569772,12.98,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.565525,12.98345,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.546064,12.984117,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.604167,12.986389,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.610278,12.986389,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.489502,12.987014,1
