# 23,324 BBMP road segments. TWO WIDTH COLUMNS: width_existing_m and width_proposed_m. The proposed figure is larger on 100% of segments (median 18 m vs 9 m) and MUST NOT be used for FAR, height or setback. Geometry reduced to a centroid. This row is NOT a boundary — joining on the centroid gives you a point inside (or near) the shape, not the shape.
road_id,hierarchy_code,hierarchy_interpretation_unverified,surface_code,width_existing_m,width_proposed_m,length_m,geometry_type,centroid_lng,centroid_lat,vertex_count
362,MA,Major road (unverified expansion),C,12.0,24.0,125.5,LineString,77.629743,13.039887,5
441,MA,Major road (unverified expansion),C,8.0,15.0,158.9,LineString,77.497157,12.96988,2
197,MI,Minor road (unverified expansion),C,8.0,15.0,385.3,LineString,77.677605,12.971051,2
462,MA,Major road (unverified expansion),C,12.0,24.0,538.2,LineString,77.746929,13.024179,12
214,MI,Minor road (unverified expansion),C,8.0,15.0,150.9,LineString,77.676711,12.969423,2
215,MI,Minor road (unverified expansion),C,8.0,15.0,561.2,LineString,77.679969,12.96911,6
216,MA,Major road (unverified expansion),C,12.0,24.0,135.3,LineString,77.674901,12.960943,3
145155,MA,Major road (unverified expansion),W,9.0,18.0,235.7,LineString,77.706414,12.91188,31
145155,MA,Major road (unverified expansion),W,9.0,18.0,3117.3,LineString,77.707013,12.919587,31
187506,MI,Minor road (unverified expansion),W,6.0,12.0,16.2,LineString,77.541062,12.953183,2
16,MA,Major road (unverified expansion),C,12.0,24.0,500.4,LineString,77.541864,12.955267,16
16,MA,Major road (unverified expansion),C,12.0,24.0,1.5,LineString,77.54114,12.953161,2
16,MA,Major road (unverified expansion),C,12.0,24.0,58.1,LineString,77.541338,12.953107,4
77463,MA,Major road (unverified expansion),W,9.0,18.0,147.6,LineString,77.55492,13.104641,17
230220,MI,Minor road (unverified expansion),W,6.0,12.0,158.9,LineString,77.561053,13.09395,10
98298,MA,Major road (unverified expansion),W,12.0,24.0,2.2,LineString,77.692493,13.038982,2
98298,MA,Major road (unverified expansion),W,12.0,24.0,486.0,LineString,77.692564,13.041433,36
144257,MI,Minor road (unverified expansion),W,6.0,12.0,1008.4,LineString,77.706924,12.941335,64
27327,MA,Major road (unverified expansion),W,9.0,18.0,549.1,LineString,77.436683,12.873093,35
220848,MA,Major road (unverified expansion),W,12.0,24.0,190.9,LineString,77.623448,12.943237,7
640,MA,Major road (unverified expansion),C,15.0,30.0,70.5,LineString,77.472531,12.923891,2
95,MI,Minor road (unverified expansion),C,6.0,12.0,573.1,LineString,77.699978,12.972476,20
96,MI,Minor road (unverified expansion),C,6.0,12.0,149.0,LineString,77.703393,12.967041,8
97,MI,Minor road (unverified expansion),C,6.0,12.0,358.4,LineString,77.705298,12.952502,6
98,MI,Minor road (unverified expansion),C,8.0,15.0,89.7,LineString,77.708472,12.963643,9
99,MI,Minor road (unverified expansion),C,8.0,15.0,574.6,LineString,77.710449,12.958277,8
669,MA,Major road (unverified expansion),C,15.0,30.0,2833.7,LineString,77.520814,13.105612,18
217,MA,Major road (unverified expansion),C,12.0,24.0,166.8,LineString,77.678021,12.962315,5
465,MA,Major road (unverified expansion),C,12.0,24.0,191.4,LineString,77.734368,13.03386,4
467,MA,Major road (unverified expansion),C,9.0,18.0,1221.3,LineString,77.751015,13.020559,23
670,MA,Major road (unverified expansion),C,15.0,30.0,2082.5,LineString,77.552964,13.097318,11
68,MA,Major road (unverified expansion),C,15.0,30.0,159.1,LineString,77.712087,12.915288,2
456,MA,Major road (unverified expansion),C,12.0,24.0,48.8,LineString,77.54397,12.866875,2
1263,MI,Minor road (unverified expansion),C,8.0,15.0,564.0,LineString,77.699861,12.980332,19
1199,MI,Minor road (unverified expansion),C,8.0,15.0,630.2,LineString,77.673,13.040571,15
230004,MA,Major road (unverified expansion),W,9.0,18.0,126.0,LineString,77.677982,13.033459,2
457,MA,Major road (unverified expansion),C,12.0,24.0,587.6,LineString,77.549693,12.864132,7
150,MA,Major road (unverified expansion),C,9.0,18.0,477.8,LineString,77.545605,12.862428,5
411,MI,Minor road (unverified expansion),C,6.0,12.0,267.0,LineString,77.576482,12.876676,6
36,MA,Major road (unverified expansion),C,12.0,24.0,54.5,LineString,77.569909,12.964293,6
37,MI,Minor road (unverified expansion),C,6.0,12.0,37.1,LineString,77.570169,12.964345,6
200,MI,Minor road (unverified expansion),C,8.0,15.0,7639.6,LineString,77.622739,13.06783,29
270,MI,Minor road (unverified expansion),C,8.0,15.0,155.3,LineString,77.507062,12.911457,2
271,MI,Minor road (unverified expansion),C,8.0,15.0,65.9,LineString,77.509765,12.911161,2
292,MA,Major road (unverified expansion),C,15.0,30.0,39.2,LineString,77.589078,13.13641,3
293,MA,Major road (unverified expansion),C,15.0,30.0,1439.2,LineString,77.587,13.13154,21
595,MA,Major road (unverified expansion),C,9.0,18.0,496.3,LineString,77.612244,13.0552,8
596,MA,Major road (unverified expansion),C,9.0,18.0,176.0,LineString,77.615369,13.054149,3
597,MA,Major road (unverified expansion),C,9.0,18.0,610.3,LineString,77.611401,13.061826,9
