# OpenStreetMap localities for bengaluru (T3, ODbL). name_local is the local-script name where OSM carries one.
name,name_local,place_type,lat,lng
Rajendranagar,ರಾಜೇಂದ್ರ ನಗರ,neighbourhood,12.946637,77.617496
Austin Town BDA Layout,ಆಷ್ಟಿನ್ ಟೌನ್,neighbourhood,12.956672,77.615386
Shanthala Nagar,ಶಾಂತಲಾ ನಗರ,quarter,12.971417,77.599439
Sadashivanagar,ಸದಾಶಿವನಗರ,suburb,13.011019,77.580864
Subrahmanya Nagar,ಸುಬ್ರಹ್ಮಣ್ಯ ನಗರ,quarter,13.004445,77.556799
Guttahalli,ಗುಟ್ಟಹಳ್ಳಿ,quarter,13.000417,77.580386
Vasanth Nagar,ವಸಂತ ನಗರ,suburb,12.992174,77.591459
Hesaraghatta,ಹೆಸರಘಟ್ಟ,village,13.139398,77.478363
Siddartha Nagar,ಸಿದ್ಧಾರ್ಥನಗರ,locality,13.046636,77.527844
Bismillah Nagar,ಬಿಸ್ಮಿಲ್ಲಾ ನಗರ,neighbourhood,12.926338,77.603385
NAL Layout,ಎನ್ಎಎಲ್ ಬಡಾವಣೆ,neighbourhood,12.925391,77.598892
RBI Colony,,neighbourhood,13.028778,77.58855
Rajanna Layout,ರಾಜಣ್ಣ ಬಡಾವಣೆ,locality,12.930774,77.5969
Canara Bank Colony,ಕೆನರಾ ಬ್ಯಾಂಕ್ ಕಲೋನಿ,neighbourhood,12.93119,77.590894
LIC Colony,ಎಲ್ಐಸಿ ಕಾಲೋನಿ,neighbourhood,12.969071,77.654209
Tilak Nagar,ತಿಲಕ್ ನಗರ,neighbourhood,12.927588,77.594712
Jayanagar 8th Block,ಜಯನಗರ ೮ನೇ ಬಡಾವಣೆ,quarter,12.919715,77.577631
Jayanagar 4th Block,ಜಯನಗರ ೪ನೇ ಬಡಾವಣೆ,quarter,12.926574,77.583504
Jayanagar 5th Block,ಜಯನಗರ ೫ನೇ ಬಡಾವಣೆ,quarter,12.919604,77.583381
Jayanagar 7th Block,ಜಯನಗರ ೭ನೇ ಬಡಾವಣೆ,quarter,12.925465,77.57755
IAS Officers Colony,ಐಎಎಸ್ ಅಧಿಕಾರಿಗಳ ಕಾಲೋನಿ,neighbourhood,12.911592,77.611496
Jayanagar 4T Block,ಜಯನಗರ ೪ನೇ ಟಿ ಹಂತ,quarter,12.923788,77.592243
MICO Layout,ಮಿಕೊ ಬಡಾವಣೆ,neighbourhood,12.912829,77.602836
Jayanagar 9th Block,ಜಯನಗರ ೯ನೇ ಬ್ಲಾಕ್,quarter,12.918999,77.592127
JP Nagar 1st Phase,ಜೆಪಿನಗರ ೧ನೇ ಹಂತ,quarter,12.911915,77.579887
JP Nagar 2nd Phase,ಜೆಪಿನಗರ ೨ನೇ ಹಂತ,quarter,12.911841,77.590567
JP Nagar 3rd Phase,ಜೆಪಿ ನಗರ ೩ನೇ ಹಂತ,quarter,12.911785,77.597619
Anchepalya,ಅಂಚೇಪಾಳ್ಯ,neighbourhood,12.891466,77.45886
Madhavara,ಮಾದವಾರ,suburb,13.053199,77.472968
Madanayakanahalli,ಮಾದನಾಯಕನಹಳ್ಳಿ,village,13.059247,77.461511
Koramangala 2nd Block,ಕೋರಮಂಗಲ ೨ನೇ ಬ್ಲಾಕ್,neighbourhood,12.924369,77.624243
MS Palaya,ಮೊಹಮ್ಮದ್ ಸಾಬ್ ಪಾಳ್ಯ,quarter,13.082861,77.546805
Kammagondanahalli,ಕಮ್ಮಗೊಂಡನಹಳ್ಳಿ,quarter,13.062031,77.535475
Doddabomasandra,ದೊಡ್ಡಬೊಮ್ಮಸಂದ್ರ,quarter,13.062754,77.558513
Kattigenahalli,ಕಟ್ಟಿಗೇನಹಳ್ಳಿ,village,13.117774,77.626122
Indiranagar 1st Stage,ಇಂದಿರಾನಗರ ೧ನೇ ಹಂತ,neighbourhood,12.979342,77.639153
Indiranagar 2nd Stage,ಇಂದಿರಾನಗರ ೨ನೇ ಹಂತ,neighbourhood,12.977086,77.63869
Motappanapalya,ಮೊಟ್ಟಪ್ಪನಪಾಳ್ಯ,neighbourhood,12.973165,77.638873
Jeevan Bhima Nagar,ಜೀವನ ಭೀಮ ನಗರ,quarter,12.967807,77.656837
Domlur 1st Stage,ದೊಮ್ಮಲೂರು ೧ನೇ ಹಂತ,neighbourhood,12.959142,77.637791
New Thippasandra,ಹೊಸ ತಿಪ್ಪಸಂದ್ರ,neighbourhood,12.973696,77.653693
Vimanapura,ವಿಮಾನಪುರ,quarter,12.96218,77.663546
Murugeshpalaya,ಮುರುಗೇಶಪಾಳ್ಯ,quarter,12.956128,77.657571
NR Colony,ನಂಜರೆಡ್ಡಿ ಕಾಲೋನಿ,neighbourhood,12.961777,77.65675
Konena Agrahara,ಕೊನೆನ ಅಗ್ರಹಾರ,neighbourhood,12.958606,77.662337
Cooke Town,ಕುಕ್ ಟೌನ್,quarter,13.0022,77.625181
RMV 2nd Stage,ರಾಜ್ ಮಹಲ್ ವಿಲಾಸ್,suburb,13.036011,77.569529
Hebbal,ಹೆಬ್ಬಾಳು,suburb,13.038218,77.5919
Sanjay Nagara,ಸಂಜಯನಗರ,quarter,13.036499,77.577971
RMV 2nd Stage 2nd Block,ಆರ್‌ಎಂವಿ ೨ನೇ ಹಂತ - ೨ನೇ ಬ್ಲಾಕ್,neighbourhood,13.028743,77.575027
Sundar Nagar,ಸುಂದರನಗರ,neighbourhood,13.040538,77.558832
Sahakaranagara,ಸಹಕಾರನಗರ,suburb,13.062907,77.585882
Arkavathy Layout,ಅರ್ಕಾವತಿ ಬಡಾವಣೆ,suburb,13.067129,77.621897
Arkavathy Layout 7th Block,ಅರ್ಕಾವತಿ ಬಡಾವಣೆ ೭ನೇ ಹಂತ,neighbourhood,13.074716,77.609823
Arkavathy Layout 1st Block,ಅರ್ಕಾವತಿ ಬಡಾವಣೆ ೧ನೇ ಹಂತ,neighbourhood,13.084039,77.608321
Jakkur,ಜಕ್ಕೂರು,suburb,13.078474,77.606894
Arkavathy Layout 3rd Block,ಅರ್ಕಾವತಿ ಬಡಾವಣೆ ೩ನೇ ಹಂತ,neighbourhood,13.075755,77.620343
MCECHS Layout,ಎಂಸಿಇಸಿಎಚ್ಎಸ್ ಲೇಔಟ್,neighbourhood,13.07258,77.615245
Telecom Layout,ಟೆಲಿಕಾಂ ಲೇಔಟ್,neighbourhood,13.069178,77.615477
Chikkagubbi,ಚಿಕ್ಕಗುಬ್ಬಿ,village,13.080607,77.666222
Gollahalli,ಗೊಲ್ಲಹಳ್ಳಿ,village,13.083045,77.675794
Kadaagrahara,ಕಾಡಅಗ್ರಹಾರ,village,13.080637,77.691613
Bagaluru,ಬಾಗಲೂರು,village,13.133187,77.668709
Hanumanthanagar,ಹನುಮಂತನಗರ,neighbourhood,13.060615,77.669273
Yarappanahalli,ಯರಪ್ಪನಹಳ್ಳಿ,village,13.086031,77.686259
Chokkanahalli,ಚೊಕ್ಕನಹಳ್ಳಿ,neighbourhood,13.085079,77.626354
Chagalatti,ಚಾಗಲೆಟ್ಟಿ,village,13.122337,77.669248
Budigere,ಬೂದಿಗೆರೆ ರಸ್ತೆ,village,13.135151,77.747199
Agara,ಆಗರ,neighbourhood,13.038673,77.646809
Chelekere,ಚೆಳ್ಳಕೆರೆ,neighbourhood,13.028656,77.6425
Kalyan Nagar,ಕಲ್ಯಾಣನಗರ,suburb,13.022142,77.640337
Shree Vinayaka Layout,ವಿನಾಯಕ ಬಡಾವಣೆ,neighbourhood,13.011543,77.700424
Dooravaninagar,ದೂರವಾಣಿನಗರ,quarter,13.00741,77.670487
Lower Palace Orchard,ಲೋಅರ್ ಪ್ಯಾಲೆಸ್ ಒರ್ಚಾರ್ಡ್,neighbourhood,13.004315,77.579751
Varadenahalli,ವರದೇನಹಳ್ಳಿ,village,13.216378,77.802727
Uttarahalli,ಉತ್ತರಹಳ್ಳಿ,suburb,12.905568,77.545544
Ullalu,ಉಳ್ಳಾಲು,quarter,12.95839,77.47979
Mahadevapura,ಮಹಾದೇವಪುರ,suburb,12.99124,77.689733
Channasandra,ಚನ್ನಸಂದ್ರ,neighbourhood,12.902943,77.519837
Hoskote,ಹೊಸಕೋಟೆ,town,13.073014,77.792138
Kanaka Nagar,ಕನಕ ನಗರ,neighbourhood,13.037411,77.608206
HMT Watch Factory Colony,ಎಚ್ಎಂಟಿ ವಾಚ್ ಫ್ಯಾಕ್ಟರಿ ಕಾಲೋನಿ,neighbourhood,13.046697,77.532467
Bahubali Nagar,ಬಾಹುಬಲಿನಗರ,locality,13.045067,77.549215
Vinayaka Nagar B Block,ವಿನಾಯಕ ನಗರ ಬಿ ಬ್ಲಾಕ್,neighbourhood,12.954521,77.658947
CNR Layout,ನಂಜುಡ್ಡರೆಡ್ಡಿ ಲೇಔಟ್,neighbourhood,13.025223,77.652494
Malappa Layout,ಮಲಪ್ಪ ಲೇಔಟ್,neighbourhood,13.027073,77.651152
Bank Avenue Colony,ಬ್ಯಾಂಕ್ ಅವೆನ್ಯೂ ಕಾಲೊನಿ,neighbourhood,13.022568,77.652799
Hennur Gardens,ಹೆಣ್ಣುರ್ ಗಾರ್ಡನ್ಸ್,neighbourhood,13.037691,77.64329
Marasandra,ಮರಸಂದ್ರ,village,13.099492,77.714854
Sri Krishna Nagar,ಶ್ರೀಕೃಷ್ಣ ನಗರ,neighbourhood,13.077584,77.653547
Post & Telegraph Layout,ಪೊಸ್ಟ್ ಮತ್ತು ಟೆಲಿಗ್ರಾಫ್ ಲೇಔಟ್,neighbourhood,13.024731,77.65804
Mohan Kumar Nagar,ಮೋಹನ್ ಕುಮಾರ್ ನಗರ,neighbourhood,13.031024,77.551138
Muthyalamma Nagar,ಮುತ್ಯಲಮ್ಮ ನಗರ,locality,13.039989,77.551522
Gokula,ಗೋಕುಲ,quarter,13.040969,77.55623
MSR Nagar,ಎಂಎಸ್ಆರ್ ನಗರ,neighbourhood,13.03331,77.56682
Peenya 2nd Stage,ಪೀಣ್ಯ ೨ನೇ ಹಂತ,neighbourhood,13.028317,77.512963
C V Raman Nagar,ಸಿ ವಿ ರಾಮನ್ ನಗರ,suburb,12.985648,77.664977
Raghavendra Colony,ರಾಘಾವೇಂದ್ರ ಕಾಲೋನಿ,neighbourhood,13.06455,77.527522
Cottonpete,ಕಾಟನ್ ಪೇಟೆ,neighbourhood,12.965633,77.565886
Prakruthi Township,ಪ್ರಕೃತಿ ಟೌನ್‌ಶಿಪ್,neighbourhood,13.030877,77.652153
High Grounds,ಹೈ ಗ್ರೌಂಡ್ಸ್,quarter,12.986513,77.583077
L.R. Nagar 1st Stage,ಎಲ್ಆರ್ ನಗರ ೧ನೇ ಹಂತ,neighbourhood,12.949846,77.615669
L.R. Nagar 2nd Stage,ಎಲ್ಆರ್ ನಗರ ೨ನೇ ಹಂತ,neighbourhood,12.949694,77.617455
Ambedkar Nagar,ಅಂಬೇಡ್ಕರ್ ನಗರ,neighbourhood,12.949085,77.618487
Goripalya,ಗೋರಿಪಾಳ್ಯ,neighbourhood,12.962944,77.5495
Hosahalli,ಹೊಸಹಳ್ಳಿ,neighbourhood,12.969069,77.54278
AECS Layout,ಎಇಸಿಎಸ್ ಲೇಔಟ್,neighbourhood,13.031188,77.575353
Heelalige,ಹೀಲಲಿಗೆ,village,12.817573,77.708105
Huskur,ಹುಸ್ಕರ್,suburb,12.860767,77.707102
Gattahalli,ಗಟ್ಟಹಳ್ಳಿ,village,12.868563,77.702691
Hosakerehalli,ಹೊಸಕೆರೆಹಳ್ಳಿ,quarter,12.930188,77.537833
Kasturibai Nagar,ಕಸ್ತೂರಿಬಾಯಿ ನಗರ,neighbourhood,12.954105,77.551273
Domlur 2nd Stage,ದೊಮ್ಮಲೂರು ೨ನೇ ಹಂತ,neighbourhood,12.964066,77.638368
Vannarapete,ವನ್ನರಪೇಟೆ,neighbourhood,12.959993,77.617638
Deepanjali Nagar,ದೀಪಾಂಜಲಿ ನಗರ,locality,12.952694,77.535647
Bapuji Nagar,ಬಾಪೂಜಿ ನಗರ,quarter,12.95567,77.540249
Ganapathy Nagar,ಗಣಪತಿ ನಗರ,neighbourhood,12.946341,77.539626
Girinagar,ಗಿರಿನಗರ,quarter,12.940144,77.5445
Byataranyapura,ಬ್ಯಾಟರಾಯನಪುರ,quarter,12.947632,77.541359
KHR Colony,ಕೆಎಚ್ಆರ್ ಕಾಲೊನಿ,neighbourhood,12.946687,77.535452
Defence Colony,ಡಿಫೆನ್ಸ್ ಕಾಲೋನಿ,neighbourhood,12.976171,77.643531
Someshwaranagar,ಸೋಮೇಶ್ವರನಗರ,neighbourhood,12.942092,77.592135
Nanjappa Garden,ನಂಜಪ್ಪ ಗಾರ್ಡನ್,neighbourhood,13.023408,77.650412
Mulluru,ಮುಳ್ಳೂರು,suburb,12.904873,77.725131
Kachamaranahalli,ಕಾಚಮಾರನಹಳ್ಳಿ,quarter,12.91233,77.73278
Gunjur,ಗುಂಜೂರು,suburb,12.920977,77.736102
Sulikunte,ಸೂಲಿಕುಂಟೆ,suburb,12.888182,77.729219
Balagere,ಬಾಲಗೆರೆ,suburb,12.937724,77.728071
Varthur,ವರ್ತೂರು,suburb,12.940651,77.746988
Kodati,ಕೊಡತಿ,suburb,12.887262,77.715899
Bhuvaneshwari Nagar,ಭುವನೇಶ್ವರಿ ನಗರ,neighbourhood,12.92325,77.549379
Ittamadu,ಇತ್ತಮಡು,neighbourhood,12.925005,77.544457
AGS Layout,ಎಜಿಎಸ್ ಲೇಔಟ್,neighbourhood,12.912765,77.53405
Hanumantha Nagar,ಹನುಮಂತ ನಗರ,quarter,12.940641,77.563543
Katriguppe,ಕತ್ರಿಗುಪ್ಪೆ,neighbourhood,12.928095,77.548884
HMT Layout,ಎಚ್ಎಂಟಿ ಲೇಔಟ್,neighbourhood,13.027652,77.592125
VV Nagar,ವಿವಿ ನಗರ,neighbourhood,13.027947,77.595071
St. Thomas Town,ಸೆಂಟ್ ತಾಮಸ್ ಟೌನ್,neighbourhood,13.006557,77.622407
Suggatta,ಸುಗ್ಗಟ್ಟ,village,13.145313,77.603719
Channarayapatna,ಚನ್ನರಾಯಪಟ್ಟಣ,village,13.245592,77.797084
Sector A,ಸೆಕ್ಟರ್ ಎ,neighbourhood,13.096843,77.586453
Yelahanka New Town,ಯಲಹಂಕ ಹೊಸ ಪಟ್ಟಣ,quarter,13.097804,77.581189
Sector B,ಸೆಕ್ಟರ್ ಬಿ,neighbourhood,13.098281,77.581801
4th Phase,೪ನೆ ಹಂತ,neighbourhood,13.104838,77.575315
5th Phase,೫ನೆ ಹಂತ,neighbourhood,13.105147,77.571478
Judicial Layout,ಜುಡಿಷಿಯಲ್ ಲೇಔಟ್,quarter,13.083769,77.586044
Jagadish Nagar,ಜಗದೀಶ ನಗರ,neighbourhood,12.968255,77.664822
Immadihalli,ಇಮ್ಮಡಿಹಳ್ಳಿ,neighbourhood,12.966399,77.762046
Valmiki Nagar,ವಾಲ್ಮೀಕಿನಗರ,neighbourhood,12.956727,77.55459
KHB Colony,ಕೆ ಎಚ್ ಬಿ ಕಾಲೋನಿ,neighbourhood,12.984449,77.534262
Nethaji Circle,ನೇತಾಜಿ ವೃತ್ತ,locality,13.036435,77.561869
Vakil Marina Layout,ವಕಿಲ್ ಮರಿನ ಲೇಔಟ್,neighbourhood,12.901588,77.617627
Ramagondanahalli,ರಾಮಗೊಂಡನಹಳ್ಳಿ,neighbourhood,13.119647,77.558619
Bommasandra,ಬೊಮ್ಮಸಂದ್ರ,suburb,12.816244,77.691611
