# OpenStreetMap localities for chennai (T3, ODbL). name_local is the local-script name where OSM carries one.
name,name_local,place_type,lat,lng
United India Colony,யுனைடெட் இந்தியா காலனி,neighbourhood,13.051122,80.224758
Maruthur Gopalan Ramachandran Nagar,மருதூர் கோபாலன் ராமச்சந்திரன் நகர்,locality,13.03412,80.19904
Jafferkhanpet,ஜாஃபர்கான் பேட்டை,suburb,13.02994,80.205619
Nesapakkam,நெசப்பாக்கம்,suburb,13.033619,80.187309
Ramapuram,ராமாவரம்,suburb,13.029861,80.178033
SBI Colony,எஸ்பிஐ காலனி,neighbourhood,13.053773,80.198937
MMDA Colony,,locality,13.069389,80.21427
Mehta Nagar,மேத்தா நகர்,neighbourhood,13.070378,80.226807
NGO Colony,என்.ஜி.ஓ. காலனி,neighbourhood,13.064553,80.219964
Moolakadai,மூலக்கடை,locality,13.129168,80.241699
Poompuhar Nagar,பூம்புகார் நகர்,locality,13.093725,80.252797
Periyar Nagar,பெரியார் நகர்,suburb,13.115167,80.223666
Senthil Nagar,செந்தில் நகர்,neighbourhood,13.119687,80.135151
Valasaravakkam,வளசரவாக்கம்,suburb,13.041016,80.172168
Maduravoyal,மதுரவாயல்,suburb,13.060173,80.166599
Nerkundram,நெற்குன்றம்,suburb,13.068839,80.183899
Nandambakkam,நந்தம்பாக்கம்,suburb,13.016648,80.191188
Manapakkam,மணப்பாக்கம்,suburb,13.014753,80.174493
Mugalivakkam,முகலிவாக்கம்,village,13.02058,80.168516
Madanandapuram,,locality,13.023516,80.153423
Moulivakkam,மௌலிவாக்கம்,suburb,13.022269,80.141393
Kolapakkam,கொளப்பாக்கம்,suburb,12.871914,80.104974
Gerugambakkam,,suburb,13.015235,80.136854
Tharapakkam,தாரபாக்கம்,village,12.994779,80.127102
Rentakattalai,,locality,12.993857,80.116127
Manancheri,,village,12.996802,80.108271
Thandalam,தண்டலம்,village,13.00153,80.118201
Kovur,கோவூர்,suburb,13.011362,80.120858
Periyapanicheri,பெரியபனிசேரி,village,13.012402,80.133613
Chinnapanicheri,சின்னபனிச்சேரி,village,13.019727,80.121863
Paraniputhur,பரணிபுத்தூர்,village,13.022529,80.128496
Thelliyaragaram,தேல்லியாகரம்,village,13.032247,80.142579
Srinivasapuram,சீனிவாசபுரம்,village,13.032241,80.130739
Ayappanthangal,ஐயப்பன்தாங்கல்,village,13.036543,80.1346
Kattupakkam,காட்டுப்பாக்கம்,village,13.040055,80.124303
Mangadu,மாங்காடு,suburb,13.031441,80.109658
Chikkarayapuram,,village,13.016877,80.101038
Aspiran Garden,,neighbourhood,13.08627,80.237039
Kilpauk Garden,,neighbourhood,13.084541,80.231106
Thiruverkadu,திருவேற்காடு,suburb,13.07277,80.120459
Aziz Nagar,,neighbourhood,13.048697,80.228114
Kamarajar Colony,காமராஜர் காலனி,neighbourhood,13.049974,80.220129
Virugambakkam,விருகம்பாக்கம்,suburb,13.047543,80.192218
Indira Colony,இந்திரா காலனி,locality,13.033131,80.210927
Vannanthurai,,locality,12.996864,80.26161
Lakshmi Hayagriva Nagar,,neighbourhood,12.985429,80.212138
Karanodai,காரனோடை,village,13.248104,80.157848
Tirusulam,திருசூலம்,suburb,12.973828,80.167078
Bakhtavachalam Nagar,,neighbourhood,12.97786,80.179105
Anakaputhur,அனகாபுத்தூர்,suburb,12.980616,80.129755
Kamarajapuram,,locality,12.972442,80.121501
Ottagapalayam,,locality,13.043309,80.213016
Kumaran Colony,,locality,13.052779,80.207046
Velayudam Colony,,neighbourhood,13.049755,80.202848
Devaraj Nagar,தேவராஜ் நகர்,locality,13.05721,80.203358
Ullagaram,உல்லகரம்,suburb,12.976587,80.19672
Moovarasampettai,மூவரசம்பேட்டை,suburb,12.969366,80.183359
Gemini,ஜெமினி,neighbourhood,13.052104,80.250007
Ellaiamman Colony,,neighbourhood,13.046986,80.251936
Evening Bazaar,,neighbourhood,13.084932,80.27872
Sharma Nagar,,locality,13.122985,80.253303
Raj Bhavan,ராஜ் பவன்,neighbourhood,13.00794,80.226399
Kottivakkam,கொட்டிவாக்கம்,suburb,12.970505,80.261503
Palavakkam,பாலவாக்கம்,suburb,12.95999,80.256027
Neelankarai,நீலாங்கரை,suburb,12.945495,80.257469
Vijaynagar,விஜயநகர்,neighbourhood,12.975743,80.220988
