# 4,151 survey parcels from digitised Bengaluru Urban revenue sheets. COVERAGE IS PARTIAL (3 taluks, 7 hoblis). A survey number here is INDICATIVE and settles nothing about boundary or title. Geometry reduced to a centroid. This row is NOT a boundary — joining on the centroid gives you a point inside (or near) the shape, not the shape.
taluk,hobli,village,survey_number,pcode,district,source_sheet,geometry_type,centroid_lng,centroid_lat,vertex_count
Bangalore East,Krishnarajapura,Bendeganahalli,36,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.661163,12.997804,15
Bangalore East,Krishnarajapura,Bendeganahalli,26,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.65229,12.997742,13
Bangalore East,Krishnarajapura,Bendeganahalli,46,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.663067,12.997842,7
Bangalore East,Krishnarajapura,Bendeganahalli,24,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.649123,12.995842,24
Bangalore East,Krishnarajapura,Bendeganahalli,6,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.658334,12.996599,32
Bangalore East,Krishnarajapura,Bendeganahalli,35,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.659184,12.996896,13
Bangalore East,Krishnarajapura,Bendeganahalli,27,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.652495,12.996824,16
Bangalore East,Krishnarajapura,Bendeganahalli,3,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.663638,12.996646,9
Bangalore East,Krishnarajapura,Bendeganahalli,4,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.663349,12.996307,11
Bangalore East,Krishnarajapura,Bendeganahalli,30,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.653771,12.996453,10
Bangalore East,Krishnarajapura,Bendeganahalli,5,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.662183,12.995919,11
Bangalore East,Krishnarajapura,Bendeganahalli,MAJARE_KRISHNANURU,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.65245,12.996527,9
Bangalore East,Krishnarajapura,Bendeganahalli,ROAD,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.660554,12.992894,46
Bangalore East,Krishnarajapura,Bendeganahalli,28,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.65185,12.996137,15
Bangalore East,Krishnarajapura,Bendeganahalli,56,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.668653,12.99589,11
Bangalore East,Krishnarajapura,Bendeganahalli,8,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.658872,12.995934,12
Bangalore East,Krishnarajapura,Bendeganahalli,31,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.654554,12.995471,12
Bangalore East,Krishnarajapura,Bendeganahalli,7,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.657518,12.995818,12
Bangalore East,Krishnarajapura,Bendeganahalli,2,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.663848,12.995691,8
Bangalore East,Krishnarajapura,Bendeganahalli,81,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.666565,12.995767,6
